run,rewards,policy
0,,"{'1': [0.117585815, 0.14189167], '2': [0.17629401, 0.17151101], '3': [0.24432288, 0.22598141], '4': [0.3566719, 0.25200278], '5': [0.39065072, 0.33010557]}"
1,,"{'1': [0.117585815, 0.14189167], '2': [0.17629401, 0.17151101], '3': [0.24432288, 0.22598141], '4': [0.3566719, 0.25200278], '5': [0.39065072, 0.33010557]}"
2,,"{'1': [0.117585815, 0.14189167], '2': [0.17629401, 0.17151101], '3': [0.24432288, 0.22598141], '4': [0.3566719, 0.25200278], '5': [0.39065072, 0.33010557]}"
3,,"{'1': [0.117585815, 0.14189167], '2': [0.17629401, 0.17151101], '3': [0.24432288, 0.22598141], '4': [0.3566719, 0.25200278], '5': [0.39065072, 0.33010557]}"
4,,"{'1': [0.117585815, 0.14189167], '2': [0.17629401, 0.17151101], '3': [0.24432288, 0.22598141], '4': [0.3566719, 0.25200278], '5': [0.39065072, 0.33010557]}"
5,,"{'1': [0.117585815, 0.14189167], '2': [0.17629401, 0.17151101], '3': [0.24432288, 0.22598141], '4': [0.3566719, 0.25200278], '5': [0.39065072, 0.33010557]}"
6,,"{'1': [0.117585815, 0.14189167], '2': [0.17629401, 0.17151101], '3': [0.24432288, 0.22598141], '4': [0.3566719, 0.25200278], '5': [0.39065072, 0.33010557]}"
7,,"{'1': [0.117585815, 0.14189167], '2': [0.17629401, 0.17151101], '3': [0.24432288, 0.22598141], '4': [0.3566719, 0.25200278], '5': [0.39065072, 0.33010557]}"
8,,"{'1': [0.117585815, 0.14189167], '2': [0.17629401, 0.17151101], '3': [0.24432288, 0.22598141], '4': [0.3566719, 0.25200278], '5': [0.39065072, 0.33010557]}"
9,,"{'1': [0.117585815, 0.14189167], '2': [0.17629401, 0.17151101], '3': [0.24432288, 0.22598141], '4': [0.3566719, 0.25200278], '5': [0.39065072, 0.33010557]}"
